#hndoc:?docid=00004362&xt=hnh:D7C54D6A7049F9FA62E5B5D17DE64F6CA293BE6D46B9ACA82967BCE68D834390
Wed,Sep,12,2018,16:25:52 ,VCDS Mobile: 0.4434,,,,,,,,,,,,,,,,,,,,
0AM-300-058-L,ADVMB,GSG DSG AG7     431  4562,
,,G013,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Group 13 - Field 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAMP,Voltage  (Terminal 30) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.10,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.30,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.51,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.71,11.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.92,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.12,11.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.33,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.53,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.74,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.94,11.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.15,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.35,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.56,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.76,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.97,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.17,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.38,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.58,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.79,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
